"Time","105_evt"
1590777373833,0
1590777374074,1
1590777374075,0
1590777374698,1
1590777374700,0
1590777374948,1
1590777374950,0
1590777375322,1
1590777375325,0
1590777375572,1
1590777375575,0
1590777375821,1
1590777375825,0
1590777376071,1
1590777376075,0
1590777376321,1
1590777376325,0
1590777376570,1
1590777376575,0
1590777376820,1
1590777376825,0
1590777377069,1
1590777377075,0
1590777377693,1
1590777377700,0
1590777377943,1
1590777377950,0
1590777379066,1
1590777379067,0
1590777379315,1
1590777379317,0
1590777379440,1
1590777379442,0
1590777379939,1
1590777379942,0
1590777380189,1
1590777380192,0
1590777380439,1
1590777380442,0
1590777380813,1
1590777380817,0
1590777381312,1
1590777381317,0
1590777381562,1
1590777381567,0
1590777381811,1
1590777381817,0
1590777382560,1
1590777382567,0
1590777382810,1
1590777382817,0
1590777383184,1
1590777383192,0
1590777384307,1
1590777384309,0
1590777384557,1
1590777384559,0
1590777384806,1
1590777384809,0
1590777385056,1
1590777385059,0
1590777385305,1
1590777385309,0
1590777385555,1
1590777385559,0
1590777386179,1
1590777386184,0
1590777386429,1
1590777386434,0
1590777386678,1
1590777386684,0
1590777387052,1
1590777387059,0
1590777387177,1
1590777387184,0
1590777387302,1
1590777387309,0
1590777387427,1
1590777387434,0
1590777387552,1
1590777387559,0
1590777387676,1
1590777387684,0
1590777387801,1
1590777387809,0
1590777387926,1
1590777387934,0
1590777388051,1
1590777388059,0
1590777388176,1
1590777388176,0
1590777388300,1
1590777388301,0
1590777388425,1
1590777388426,0
1590777388550,1
1590777388551,0
1590777388675,1
1590777388676,0
1590777388799,1
1590777388801,0
1590777388924,1
1590777388926,0
1590777389049,1
1590777389051,0
1590777389174,1
1590777389176,0
1590777389299,1
1590777389301,0
1590777389423,1
1590777389426,0
1590777389548,1
1590777389551,0
1590777389673,1
1590777389676,0
1590777389798,1
1590777389801,0
1590777389923,1
1590777389926,0
1590777390047,1
1590777390051,0
1590777390172,1
1590777390176,0
1590777390297,1
1590777390301,0
1590777390422,1
1590777390426,0
1590777390547,1
1590777390551,0
1590777390671,1
1590777390676,0
1590777390796,1
1590777390801,0
1590777390921,1
1590777390926,0
1590777391046,1
1590777391051,0
1590777391171,1
1590777391176,0
1590777391295,1
1590777391301,0
1590777391420,1
1590777391426,0
1590777391545,1
1590777391551,0
1590777391670,1
1590777391676,0
1590777391794,1
1590777391801,0
1590777391919,1
1590777391926,0
1590777392044,1
1590777392051,0
1590777392169,1
1590777392176,0
1590777392294,1
1590777392301,0
1590777392418,1
1590777392426,0
1590777392543,1
1590777392551,0
1590777392668,1
1590777392676,0
1590777392793,1
1590777392793,0
1590777392918,1
1590777392918,0
1590777393042,1
1590777393043,0
1590777393167,1
1590777393168,0
1590777393292,1
1590777393293,0
1590777393417,1
1590777393418,0
1590777393542,1
1590777393543,0
1590777393666,1
1590777393668,0
1590777393791,1
1590777393793,0
1590777393916,1
1590777393918,0
1590777394041,1
1590777394043,0
1590777394165,1
1590777394168,0
1590777394290,1
1590777394293,0
1590777394415,1
1590777394418,0
1590777394540,1
1590777394543,0
1590777394665,1
1590777394668,0
1590777394789,1
1590777394793,0
1590777394914,1
1590777394918,0
1590777395039,1
1590777395043,0
1590777395164,1
1590777395168,0
1590777395289,1
1590777395293,0
1590777395413,1
1590777395418,0
1590777395538,1
1590777395543,0
1590777395663,1
1590777395668,0
1590777395788,1
1590777395793,0
1590777395913,1
1590777395918,0
1590777396037,1
1590777396043,0
1590777396162,1
1590777396168,0
1590777396287,1
1590777396293,0
1590777396412,1
1590777396418,0
1590777396537,1
1590777396543,0
1590777396661,1
1590777396668,0
1590777396786,1
1590777396793,0
1590777396911,1
1590777396918,0
1590777397036,1
1590777397043,0
1590777397161,1
1590777397168,0
1590777397285,1
1590777397293,0
1590777397410,1
1590777397418,0
1590777397535,1
1590777397535,0
1590777397660,1
1590777397660,0
1590777397784,1
1590777397785,0
1590777397909,1
1590777397910,0
1590777398034,1
1590777398035,0
1590777398159,1
1590777398160,0
1590777398284,1
1590777398285,0
1590777398408,1
1590777398410,0
1590777398533,1
1590777398535,0
1590777398658,1
1590777398660,0
1590777398783,1
1590777398785,0
1590777398907,1
1590777398910,0
1590777399032,1
1590777399035,0
1590777399157,1
1590777399160,0
1590777399282,1
1590777399285,0
1590777399407,1
1590777399410,0
1590777399531,1
1590777399535,0
1590777399656,1
1590777399660,0
1590777399781,1
1590777399785,0
1590777399906,1
1590777399910,0
1590777400031,1
1590777400035,0
1590777400155,1
1590777400160,0
1590777400280,1
1590777400285,0
1590777400405,1
1590777400410,0
1590777400530,1
1590777400535,0
1590777400655,1
1590777400660,0
1590777400779,1
1590777400785,0
1590777400904,1
1590777400910,0
1590777401029,1
1590777401035,0
1590777401154,1
1590777401160,0
1590777401278,1
1590777401285,0
1590777401403,1
1590777401410,0
1590777401528,1
1590777401535,0
1590777401653,1
1590777401660,0
1590777401778,1
1590777401785,0
1590777401903,1
1590777401910,0
1590777402027,1
1590777402035,0
1590777402152,1
1590777402152,0
1590777402277,1
1590777402277,0
1590777402402,1
1590777402402,0
1590777402526,1
1590777402527,0
1590777402651,1
1590777402652,0
1590777402776,1
1590777402777,0
1590777402901,1
1590777402902,0
1590777403026,1
1590777403027,0
1590777403150,1
1590777403152,0
1590777403275,1
1590777403277,0
1590777403400,1
1590777403402,0
1590777403525,1
1590777403527,0
1590777403649,1
1590777403652,0
1590777403774,1
1590777403777,0
1590777403899,1
1590777403902,0
1590777404024,1
1590777404027,0
1590777404149,1
1590777404152,0
1590777404273,1
1590777404277,0
1590777404398,1
1590777404402,0
1590777404523,1
1590777404527,0
1590777404648,1
1590777404652,0
1590777404773,1
1590777404777,0
1590777404897,1
1590777404902,0
1590777405022,1
1590777405027,0
1590777405147,1
1590777405152,0
1590777405272,1
1590777405277,0
1590777405397,1
1590777405402,0
1590777405521,1
1590777405527,0
1590777405646,1
1590777405652,0
1590777405771,1
1590777405777,0
1590777405896,1
1590777405902,0
1590777406021,1
1590777406027,0
1590777406145,1
1590777406152,0
1590777406270,1
1590777406277,0
1590777406395,1
1590777406402,0
1590777406520,1
1590777406527,0
1590777406645,1
1590777406652,0
1590777406769,1
1590777406770,0
1590777406894,1
1590777406895,0
1590777407019,1
1590777407020,0
1590777407144,1
1590777407145,0
1590777407268,1
1590777407270,0
1590777407393,1
1590777407395,0
1590777407518,1
1590777407520,0
1590777407643,1
1590777407645,0
1590777407768,1
1590777407770,0
1590777407892,1
1590777407895,0
1590777408017,1
1590777408020,0
1590777408142,1
1590777408145,0
1590777408267,1
1590777408270,0
1590777408392,1
1590777408395,0
1590777408516,1
1590777408520,0
1590777408641,1
1590777408645,0
1590777408766,1
1590777408770,0
1590777408891,1
1590777408895,0
1590777409015,1
1590777409020,0
1590777409140,1
1590777409145,0
1590777409265,1
1590777409270,0
1590777409390,1
1590777409395,0
1590777409515,1
1590777409520,0
1590777409639,1
1590777409645,0
1590777409764,1
1590777409770,0
1590777409889,1
1590777409895,0
1590777410014,1
1590777410020,0
1590777410139,1
1590777410145,0
1590777410263,1
1590777410270,0
1590777410388,1
1590777410395,0
1590777410513,1
1590777410520,0
1590777410638,1
1590777410645,0
1590777410763,1
1590777410770,0
1590777410887,1
1590777410895,0
1590777411012,1
1590777411020,0
1590777411137,1
1590777411145,0
1590777411262,1
1590777411270,0
1590777411387,1
1590777411395,0
1590777411511,1
1590777411512,0
1590777411636,1
1590777411637,0
1590777411761,1
